,value/0/#text,value/0/@_name,value/1/#text,value/1/@_name,value/2/#text,value/2/@_name,value/3/#text,value/3/@_name,value/4/#text,value/4/@_name,value/5/#text,value/5/@_name
7,25438,id,34547,id_1,34546,id_2,Васильева признана виновной в мошенничестве и хищениях,text_1,Васильева признана виновной в хищениях и отмывании денег,text_2,0,class
13,25456,id,34567,id_1,34568,id_2,Троих подростков-убийц поймали в Подмосковье,text_1,В Подмосковье трое подростков признались в серии убийств,text_2,0,class
20,25477,id,34590,id_1,34589,id_2,Лидер либдемов Ник Клегг подал в отставку после неудачи на выборах,text_1,Лидер британских лейбористов подал в отставку из-за поражения на выборах,text_2,0,class
26,25491,id,34605,id_1,34603,id_2,Консерваторы увеличили отрыв от лейбористов на выборах в Британии,text_1,Консерваторы победили на выборах в Британии,text_2,0,class
27,25492,id,34606,id_1,34607,id_2,Лавров о возможной встрече с Керри: готов встречаться с ним всегда,text_1,Лавров заявил о готовности встретиться с Керри в Сочи,text_2,0,class
31,25502,id,34597,id_1,34615,id_2,Защита Васильевой обжалует приговор в виде пяти лет заключения,text_1,Защита Васильевой обжалует приговор суда,text_2,0,class
33,25505,id,34622,id_1,34623,id_2,Путин освободил от должности ряд генералов,text_1,Владимир Путин освободил от должности почти 20 генералов,text_2,0,class
37,25509,id,34627,id_1,34630,id_2,Главой ГУМЧС по Москве назначен генерал-майор Илья Денисов,text_1,Путин назначил нового главу управления МЧС по Москве,text_2,0,class
38,25510,id,34631,id_1,34630,id_2,Александр Некрасов назначен на пост главы МЧС Хакасии,text_1,Путин назначил нового главу управления МЧС по Москве,text_2,0,class
39,25511,id,34628,id_1,34632,id_2,СК: против принимавшего участие в убийствах в Хатыне возбуждено дело,text_1,"СК РФ возбудил дело против нациста, убившего жителей Хатыни",text_2,0,class
40,25512,id,34623,id_1,34633,id_2,Владимир Путин освободил от должности почти 20 генералов,text_1,Путин снял с должностей более 20 руководителей-силовиков,text_2,0,class
